date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-02-09,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-09,California,State,Beta,0.0,0.0,0.14285714285,0.027685492802
2021-02-09,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-09,California,State,Delta,0.0,0.0,0.14285714285,0.027685492802
2021-02-10,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-10,California,State,Epsilon,353.0,66.35,312.85714285714,72.205736894164
2021-02-10,California,State,Total,532.0,100.0,433.28571428571,100.0
2021-02-10,California,State,Delta,0.0,0.0,0.14285714285,0.032970656116
2021-02-10,California,State,Alpha,20.0,3.76,16.85714285714,3.890537421695
2021-02-10,California,State,Beta,0.0,0.0,0.0,0.0
2021-02-10,California,State,Omicron,0.0,0.0,0.0,0.0
